2025-12-25 11:08:43 [INFO    ]: Starting TShark worker. (main.py:112)
2025-12-25 11:08:43 [INFO    ]: TShark process started successfully. (main.py:121)
2025-12-25 11:08:44 [INFO    ]: Flushing buffers... (main.py:90)
2025-12-25 11:08:45 [INFO    ]: Buffers flushed successfully. (main.py:97)
2025-12-25 11:08:45 [INFO    ]:          92033 function calls (91179 primitive calls) in 0.498 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       64    0.000    0.000    0.000    0.000 {built-in method time.localtime}
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.13/functools.py:544(decorating_function)
       66    0.000    0.000    0.000    0.000 /usr/lib/python3.13/tkinter/__init__.py:66(_stringify)
      117    0.000    0.000    0.000    0.000 /usr/lib/python3.13/os.py:798(decode)
      234    0.000    0.000    0.000    0.000 /usr/lib/python3.13/queue.py:274(_get)
      117    0.000    0.000    0.000    0.000 /usr/lib/python3.13/contextlib.py:485(__init__)
      477    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      234    0.000    0.000    0.000    0.000 /usr/lib/python3.13/contextlib.py:552(_push_exit_callback)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.13/functools.py:36(update_wrapper)
      175    0.000    0.000    0.000    0.000 /usr/lib/python3.13/queue.py:270(_put)
      357    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      642    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      586    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
      117    0.000    0.000    0.000    0.000 /usr/lib/python3.13/subprocess.py:274(_cleanup)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.13/codecs.py:322(decode)
      234    0.000    0.000    0.000    0.000 /usr/lib/python3.13/contextlib.py:479(_create_cb_wrapper)
      120    0.000    0.000    0.000    0.000 /usr/lib/python3.13/queue.py:112(empty)
      119    0.000    0.000    0.000    0.000 /usr/lib/python3.13/threading.py:315(_acquire_restore)
      117    0.000    0.000    0.000    0.000 /usr/lib/python3.13/subprocess.py:1249(poll)
      234    0.000    0.000    0.000    0.000 {method 'join' of 'bytes' objects}
      232    0.000    0.000    0.000    0.000 {built-in method time.monotonic}
       61    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      417    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.13/logging/__init__.py:988(format)
      234    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x9f3a38}
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.13/logging/__init__.py:699(format)
      631    0.000    0.000    0.000    0.000 {method 'splitlist' of '_tkinter.tkapp' objects}
      234    0.000    0.000    0.000    0.000 {method 'register' of 'select.poll' objects}
      234    0.000    0.000    0.000    0.000 {method 'unregister' of 'select.poll' objects}
      120    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      351    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
        2    0.000    0.000    0.000    0.000 /home/kali/.vscode/extensions/ms-python.debugpy-2025.18.0/bundled/libs/debugpy/_vendored/pydevd/pydevd.py:1768(process_internal_commands)
      117    0.000    0.000    0.000    0.000 {built-in method select.poll}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/logging/handlers.py:189(shouldRollover)
      234    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       61    0.000    0.000    0.000    0.000 /usr/lib/python3.13/re/__init__.py:330(_compile)
      240    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      514    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
      119    0.000    0.000    0.000    0.000 {method 'remove' of 'collections.deque' objects}
      117    0.000    0.000    0.000    0.000 {built-in method builtins.id}
      117    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
      234    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.13/tkinter/__init__.py:3976(insert)
      351    0.000    0.000    0.000    0.000 {built-in method _warnings._filters_mutated}
      132    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
      475    0.000    0.000    0.000    0.000 /usr/lib/python3.13/subprocess.py:1255(_remaining_time)
        2    0.000    0.000    0.000    0.000 /home/kali/.vscode/extensions/ms-python.debugpy-2025.18.0/bundled/libs/debugpy/_vendored/pydevd/pydevd.py:314(can_exit)
      117    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
       58    0.000    0.000    0.000    0.000 /usr/lib/python3.13/threading.py:1136(is_alive)
      117    0.000    0.000    0.000    0.000 /home/kali/.vscode/extensions/ms-python.debugpy-2025.18.0/bundled/libs/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_constants.py:834(get_global_debugger)
      117    0.000    0.000    0.000    0.000 {method 'rfind' of 'bytes' objects}
      119    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      117    0.000    0.000    0.000    0.000 /usr/lib/python3.13/warnings.py:462(__init__)
      117    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
      119    0.000    0.000    0.000    0.000 /usr/lib/python3.13/threading.py:312(_release_save)
      117    0.000    0.000    0.000    0.000 {built-in method sys.exception}
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.13/logging/__init__.py:631(formatTime)
        3    0.000    0.000    0.000    0.000 /home/kali/PycharmProjects/tShark/utils.py:82(is_locally_administered)
      117    0.000    0.000    0.000    0.000 /home/kali/.vscode/extensions/ms-python.debugpy-2025.18.0/bundled/libs/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_net_command_factory_json.py:459(make_process_created_message)
      234    0.000    0.000    0.000    0.000 /usr/lib/python3.13/subprocess.py:1327(_on_error_fd_closer)
      358    0.000    0.000    0.000    0.000 /usr/lib/python3.13/selectors.py:276(get_map)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        2    0.000    0.000    0.000    0.000 /home/kali/.vscode/extensions/ms-python.debugpy-2025.18.0/bundled/libs/debugpy/_vendored/pydevd/pydevd.py:1469(has_user_threads_alive)
      117    0.000    0.000    0.000    0.000 /home/kali/.vscode/extensions/ms-python.debugpy-2025.18.0/bundled/libs/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_net_command.py:21(send)
      234    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      117    0.000    0.000    0.000    0.000 {built-in method posix.WIFSTOPPED}
      241    0.000    0.000    0.000    0.000 /usr/lib/python3.13/subprocess.py:1263(_check_timeout)
      234    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      120    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      234    0.000    0.000    0.000    0.000 {method 'pop' of 'collections.deque' objects}
      117    0.000    0.000    0.000    0.000 /usr/lib/python3.13/subprocess.py:2180(_save_input)
      117    0.000    0.000    0.000    0.000 {built-in method sys.audit}
        4    0.000    0.000    0.000    0.000 /home/kali/.vscode/extensions/ms-python.debugpy-2025.18.0/bundled/libs/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_daemon_thread.py:108(new_threading_enumerate)
      117    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      234    0.000    0.000    0.000    0.000 /usr/lib/python3.13/codecs.py:263(__init__)
      117    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      234    0.000    0.000    0.000    0.000 /home/kali/.vscode/extensions/ms-python.debugpy-2025.18.0/bundled/libs/debugpy/_vendored/pydevd/_pydev_bundle/pydev_log.py:217(debug)
        2    0.000    0.000    0.000    0.000 /home/kali/.vscode/extensions/ms-python.debugpy-2025.18.0/bundled/libs/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_utils.py:139(get_non_pydevd_threads)
      117    0.000    0.000    0.000    0.000 /usr/lib/python3.13/selectors.py:63(__init__)
      117    0.000    0.000    0.000    0.000 /usr/lib/python3.13/subprocess.py:1987(_internal_poll)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.13/logging/__init__.py:1592(findCaller)
      117    0.000    0.000    0.000    0.000 /usr/lib/python3.13/tkinter/__init__.py:2066(__init__)
      117    0.000    0.000    0.000    0.000 /usr/lib/python3.13/contextlib.py:568(__enter__)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.13/logging/__init__.py:683(formatMessage)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.13/logging/__init__.py:470(format)
       58    0.000    0.000    0.000    0.000 {built-in method time.time}
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.13/logging/__init__.py:463(_format)
      117    0.000    0.000    0.000    0.000 /usr/lib/python3.13/subprocess.py:487(__init__)
       66    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        3    0.000    0.000    0.000    0.000 /home/kali/PycharmProjects/tShark/utils.py:25(normalize_mac_OUI)
       61    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       60    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      117    0.000    0.000    0.000    0.000 /usr/lib/python3.13/subprocess.py:1102(__enter__)
       61    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        2    0.000    0.000    0.000    0.000 /home/kali/.vscode/extensions/ms-python.debugpy-2025.18.0/bundled/libs/debugpy/_vendored/pydevd/pydevd.py:1587(get_internal_queue_and_event)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.13/logging/__init__.py:197(_is_internal_frame)
        6    0.000    0.000    0.000    0.000 /home/kali/.vscode/extensions/ms-python.debugpy-2025.18.0/bundled/libs/debugpy/_vendored/pydevd/pydevd.py:1712(notify_thread_created)
       66    0.000    0.000    0.000    0.000 {method 'is_done' of '_thread._ThreadHandle' objects}
        2    0.000    0.000    0.000    0.000 {method 'tell' of '_io.TextIOWrapper' objects}
        6    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.13/logging/__init__.py:677(usesTime)
      117    0.000    0.000    0.000    0.000 /usr/lib/python3.13/selectors.py:203(__enter__)
        3    0.000    0.000    0.000    0.000 {method 'fetchone' of 'sqlite3.Cursor' objects}
        2    0.000    0.000    0.000    0.000 /home/kali/.vscode/extensions/ms-python.debugpy-2025.18.0/bundled/libs/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_comm.py:438(empty)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.13/threading.py:1429(current_thread)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.13/functools.py:504(lru_cache)
      124    0.000    0.000    0.000    0.000 /usr/lib/python3.13/threading.py:605(is_set)
       39    0.000    0.000    0.000    0.000 /home/kali/PycharmProjects/tShark/utils.py:89(<genexpr>)
